Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
41,15247,species,Streak-breasted Treehunter,Thripadectes rufobrunneus,1,Road to TV Towers,CR-G,10 Jan 2026,L3236802,S293498463,,1
42,14439,species,Silvery-fronted Tapaculo,Scytalopus argentifrons,1,Road to TV Towers,CR-G,10 Jan 2026,L3236802,S293498463,,1
43,7809,species,King Vulture,Sarcoramphus papa,2,Monteverde--Hummingbird Gallery,CR-P,09 Jan 2026,L436932,S293354062,,1
44,8799,species,Bare-shanked Screech-Owl,Megascops clarkii,1,Reserva Bosque Nuboso Santa Elena,CR-G,08 Jan 2026,L863744,S293210104,,1
45,16698,species,Yellow-bellied Elaenia,Elaenia flavogaster,1,Monteverde--Santa Elena,CR-P,08 Jan 2026,L3502981,S293192407,,1
46,11455,species,Smoky-brown Woodpecker,Leuconotopicus fumigatus,1,Monteverde--Santa Elena,CR-P,08 Jan 2026,L3502981,S293192407,,1
47,14857,species,Spotted Woodcreeper,Xiphorhynchus erythropygius,1,Monteverde--Bajo del Tigre,CR-P,08 Jan 2026,L436930,S293119773,,1
48,28181,species,Black-faced Solitaire,Myadestes melanops,1,Reserva Biológica Bosque Nuboso Monteverde,CR-P,07 Jan 2026,L552342,S293042346,,1
49,28274,species,Slaty-backed Nightingale-Thrush,Catharus fuscater,1,Reserva Biológica Bosque Nuboso Monteverde,CR-P,07 Jan 2026,L552342,S293013518,,1
50,28256,species,Orange-billed Nightingale-Thrush,Catharus aurantiirostris,1,Reserva Biológica Bosque Nuboso Monteverde,CR-P,07 Jan 2026,L552342,S293013518,,1
51,16305,species,Scale-crested Pygmy-Tyrant,Lophotriccus pileatus,1,Reserva Biológica Bosque Nuboso Monteverde,CR-P,07 Jan 2026,L552342,S293013518,,1
52,954,species,Gray-headed Chachalaca,Ortalis cinereiceps,6,Monteverde--Hotel Belmar,CR-P,07 Jan 2026,L3580137,S292937655,,1
53,24128,species,Blue-and-white Swallow,Pygochelidon cyanoleuca,8,Monteverde--Hotel Belmar,CR-P,06 Jan 2026,L3580137,S292849309,,1
54,21199,species,Azure-hooded Jay,Cyanolyca cucullata,1,Monteverde--Hotel Belmar,CR-P,06 Jan 2026,L3580137,S292849309,,1
55,1987,species,Ruddy Pigeon,Patagioenas subvinacea,2,Monteverde--Hotel Belmar,CR-P,06 Jan 2026,L3580137,S292849309,,1
56,35130,species,Silver-throated Tanager,Tangara icterocephala,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
57,34413,species,Hepatic Tanager,Piranga flava,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
58,34268,species,Costa Rican Warbler,Basileuterus melanotis,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
59,34250,species,Golden-crowned Warbler,Basileuterus culicivorus,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
60,34011,species,Kentucky Warbler,Geothlypis formosa,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
61,33956,species,Golden-winged Warbler,Vermivora chrysoptera,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
62,33436,species,White-naped Brushfinch,Atlapetes albinucha,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
63,33081,species,Chestnut-capped Brushfinch,Arremon brunneinucha,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
