comName,sciName,invasionStatus,conservStatus,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
Canada Goose,Branta canadensis,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Hawaiian Goose,Branta sandvicensis,Native,Near threatened,Absent,Rare/Accidental,Absent,Absent,Absent,Rare/Accidental,Absent,Native,Absent,Absent,Absent
Red-breasted Goose,Branta ruficollis,Rare/Accidental,,Rare/Accidental,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Absent
Blue-winged Goose,Cyanochen cyanoptera,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Mute Swan,Cygnus olor,Introduced,Least concern,Introduced,Introduced,Introduced,Introduced,Introduced,Introduced,Absent,Introduced,Introduced,Introduced,Introduced
Black Swan,Cygnus atratus,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental
Black-necked Swan,Cygnus melancoryphus,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent,Absent
Trumpeter Swan,Cygnus buccinator,Native,Least concern,Native,Rare/Accidental,Present,Present,Present,Present,Present,Absent,Present,Absent,Absent
Tundra Swan,Cygnus columbianus,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Whooper Swan,Cygnus cygnus,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent
Coscoroba Swan,Coscoroba coscoroba,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Rare/Accidental,Absent,Absent
Comb Duck,Sarkidiornis sylvicola,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Orinoco Goose,Oressochen jubatus,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Rare/Accidental
Upland Goose,Chloephaga picta,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Radjah Shelduck,Radjah radjah,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent
Egyptian Goose,Alopochen aegyptiaca,Introduced,Least concern,Rare/Accidental,Introduced,Introduced,Introduced,Introduced,Introduced,Absent,Absent,Introduced,Introduced,Introduced
Ruddy Shelduck,Tadorna ferruginea,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent
South African Shelduck,Tadorna cana,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Absent
Paradise Shelduck,Tadorna variegata,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Common Shelduck,Tadorna tadorna,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental
Crested Duck,Lophonetta specularioides,Rare/Accidental,,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Muscovy Duck,Cairina moschata,Native,Least concern,Rare/Accidental,Introduced,Introduced,Introduced,Introduced,Rare/Accidental,Rare/Accidental,Introduced,Introduced,Native,Introduced
