speciesCode,comName,sciName,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
leasan,Least Sandpiper,Calidris minutilla,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
pecsan,Pectoral Sandpiper,Calidris melanotos,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
wessan,Western Sandpiper,Calidris mauri,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
semsan,Semipalmated Sandpiper,Calidris pusilla,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
colpra,Collared Pratincole,Glareola pratincola,,,,,,,,,,,Present
oripra,Oriental Pratincole,Glareola maldivarum,,,,,,,Present,,,,
lotjae,Long-tailed Jaeger,Stercorarius longicaudus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
parjae,Parasitic Jaeger,Stercorarius parasiticus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
pomjae,Pomarine Jaeger,Stercorarius pomarinus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
gresku1,Great Skua,Stercorarius skua,Present,Present,,,,,,,Present,,Present
sopsku1,South Polar Skua,Stercorarius maccormicki,Present,Present,Present,,Present,Present,Present,Present,Present,Present,Present
rhiauk,Rhinoceros Auklet,Cerorhinca monocerata,,,,,,Present,Present,,Present,Present,
tufpuf,Tufted Puffin,Fratercula cirrhata,Present,,,,,Present,Present,,Present,,
atlpuf,Atlantic Puffin,Fratercula arctica,Present,Present,Present,,,,,,Present,,Present
horpuf,Horned Puffin,Fratercula corniculata,,,,,,Present,Present,,Present,,
casauk,Cassin's Auklet,Ptychoramphus aleuticus,,,,,,Present,Present,,Present,Present,
leaauk,Least Auklet,Aethia pusilla,,,,,,Present,Present,,Present,,
whiauk,Whiskered Auklet,Aethia pygmaea,,,,,,,Present,,,,
creauk,Crested Auklet,Aethia cristatella,,,,,,Present,Present,,Present,Present,
parauk,Parakeet Auklet,Aethia psittacula,,,,,,Present,Present,,Present,,
lobmur,Long-billed Murrelet,Brachyramphus perdix,Present,Present,Present,Present,Present,Present,Present,,Present,,
kitmur,Kittlitz's Murrelet,Brachyramphus brevirostris,,,,,,Present,Present,,Present,,
marmur,Marbled Murrelet,Brachyramphus marmoratus,,,,,,Present,Present,,Present,Present,
blkgui,Black Guillemot,Cepphus grylle,Present,Present,Present,,,,Present,,Present,,
piggui,Pigeon Guillemot,Cepphus columba,,,,,,Present,Present,,Present,Present,
razorb,Razorbill,Alca torda,Present,Present,,,,,,,Present,,Present
doveki,Dovekie,Alle alle,Present,Present,Present,,,,Present,,Present,,Present
thbmur,Thick-billed Murre,Uria lomvia,Present,Present,Present,,,Present,Present,,Present,,
commur,Common Murre,Uria aalge,Present,Present,,,,Present,Present,,Present,Present,
ancmur,Ancient Murrelet,Synthliboramphus antiquus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
xanmur2,Scripps's Murrelet,Synthliboramphus scrippsi,,,,,,Present,,,Present,Present,
xanmur1,Guadalupe Murrelet,Synthliboramphus hypoleucus,,,,,,Present,,,Present,Present,
cramur,Craveri's Murrelet,Synthliboramphus craveri,,,,,,Present,,,,Present,
swtgul1,Swallow-tailed Gull,Creagrus furcatus,,,,,,Present,,,,Present,
litgul,Little Gull,Hydrocoloeus minutus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
rosgul,Ross's Gull,Rhodostethia rosea,Present,Present,Present,Present,,Present,Present,,Present,,
bklkit,Black-legged Kittiwake,Rissa tridactyla,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
relkit,Red-legged Kittiwake,Rissa brevirostris,,,,Present,,Present,Present,,Present,,
ivogul,Ivory Gull,Pagophila eburnea,Present,Present,Present,Present,Present,Present,Present,,Present,,
sabgul,Sabine's Gull,Xema sabini,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
bongul,Bonaparte's Gull,Chroicocephalus philadelphia,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
silgul2,Silver Gull,Chroicocephalus novaehollandiae,Present,Present,,,,,,,,,
bkhgul,Black-headed Gull,Chroicocephalus ridibundus,Present,Present,Present,Present,Present,Present,Present,,Present,,Present
grhgul,Gray-hooded Gull,Chroicocephalus cirrocephalus,Present,Present,,,,,,,,Present,Present
grygul,Gray Gull,Leucophaeus modestus,,Present,,,Present,,,,,Present,
laugul,Laughing Gull,Leucophaeus atricilla,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
fragul,Franklin's Gull,Leucophaeus pipixcan,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
gbhgul2,Pallas's Gull,Ichthyaetus ichthyaetus,,,,,,,Present,,,,
audgul1,Audouin's Gull,Ichthyaetus audouinii,,,,,,,,,,,Present
belgul,Belcher's Gull,Larus belcheri,,Present,,,,Present,,,,,
bktgul,Black-tailed Gull,Larus crassirostris,Present,Present,Present,,Present,Present,Present,,Present,Present,Present
heegul,Heermann's Gull,Larus heermanni,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
mewgul,Common Gull,Larus canus,Present,Present,Present,,,Present,Present,Present,Present,,Present
mewgul2,Short-billed Gull,Larus brachyrhynchus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,
ribgul,Ring-billed Gull,Larus delawarensis,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
yefgul,Yellow-footed Gull,Larus livens,,,,Present,Present,Present,,,,Present,
wesgul,Western Gull,Larus occidentalis,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,
kelgul,Kelp Gull,Larus dominicanus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
amhgul1,American Herring Gull,Larus smithsonianus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
veggul1,Vega Gull,Larus vegae,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,
euhgul1,European Herring Gull,Larus argentatus,Present,Present,,,Present,,,,Present,,Present
yelgul1,Yellow-legged Gull,Larus michahellis,,Present,,,Present,,,,Present,,
gbbgul,Great Black-backed Gull,Larus marinus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
glagul,Glaucous Gull,Larus hyperboreus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
lbbgul,Lesser Black-backed Gull,Larus fuscus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
calgul,California Gull,Larus californicus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
glwgul,Glaucous-winged Gull,Larus glaucescens,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,
slbgul,Slaty-backed Gull,Larus schistisagus,Present,Present,Present,Present,Present,Present,Present,Present,Present,,
y00478,Iceland Gull,Larus glaucoides,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
blkski,Black Skimmer,Rynchops niger,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
whiter4,Blue-billed White-Tern,Gygis candida,,,,,,,,Present,,Present,Present
brnnod,Brown Noddy,Anous stolidus,Present,Present,,,Present,,,Present,,Present,Present
blknod,Black Noddy,Anous minutus,,Present,,,Present,,,Present,,Present,Present
bugnod,Blue-gray Noddy,Anous ceruleus,,,,,,,,Present,,,
aleter1,Aleutian Tern,Onychoprion aleuticus,,,,,,,Present,,,,
sooter1,Sooty Tern,Onychoprion fuscatus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
briter1,Bridled Tern,Onychoprion anaethetus,Present,Present,,,Present,Present,,Present,Present,Present,Present
gybter1,Gray-backed Tern,Onychoprion lunatus,,,,,,,,Present,,,
leater1,Least Tern,Sternula antillarum,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
yebter2,Yellow-billed Tern,Sternula superciliaris,,,,,,,,,,Present,Present
labter1,Large-billed Tern,Phaetusa simplex,Present,Present,Present,,,,,,,Present,Present
gubter2,Gull-billed Tern,Gelochelidon nilotica,Present,Present,Present,,Present,Present,,Present,Present,Present,Present
caster1,Caspian Tern,Hydroprogne caspia,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
incter1,Inca Tern,Larosterna inca,,,,,,,,Present,,Present,
whiter2,Whiskered Tern,Chlidonias hybrida,Present,,,,,,,Present,,,Present
blkter,Black Tern,Chlidonias niger,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
whwter,White-winged Tern,Chlidonias leucopterus,Present,Present,Present,,,Present,Present,Present,Present,,Present
forter,Forster's Tern,Sterna forsteri,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
arcter,Arctic Tern,Sterna paradisaea,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
comter,Common Tern,Sterna hirundo,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
roster,Roseate Tern,Sterna dougallii,Present,Present,Present,,Present,,,,Present,Present,Present
santer1,Sandwich Tern,Thalasseus sandvicensis,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
eleter1,Elegant Tern,Thalasseus elegans,Present,Present,,,Present,Present,,Present,Present,Present,Present
royter1,Royal Tern,Thalasseus maximus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
grcter1,Great Crested Tern,Thalasseus bergii,,,,,,,,Present,,,
chifla1,Chilean Flamingo,Phoenicopterus chilensis,Present,Present,,Present,,Present,,,Present,Present,
grefla2,American Flamingo,Phoenicopterus ruber,Present,Present,Present,,Present,Present,,,Present,Present,Present
grefla3,Greater Flamingo,Phoenicopterus roseus,,,,,Present,Present,,,,Present,
lesfla1,Lesser Flamingo,Phoeniconaias minor,,,,Present,Present,Present,,,,,
leagre,Least Grebe,Tachybaptus dominicus,,Present,,,Present,Present,,,,Present,Present
pibgre,Pied-billed Grebe,Podilymbus podiceps,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
atigre1,Atitlan Grebe,Podilymbus gigas,,,,,,,,,,Present,
horgre,Horned Grebe,Podiceps auritus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
rengre,Red-necked Grebe,Podiceps grisegena,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
eargre,Eared Grebe,Podiceps nigricollis,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
wesgre,Western Grebe,Aechmophorus occidentalis,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
clagre,Clark's Grebe,Aechmophorus clarkii,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
sunbit1,Sunbittern,Eurypyga helias,,,,,,,,,,Present,
whttro,White-tailed Tropicbird,Phaethon lepturus,Present,Present,,,Present,Present,,Present,Present,Present,Present
rebtro,Red-billed Tropicbird,Phaethon aethereus,Present,Present,,,Present,Present,,Present,Present,Present,Present
rettro,Red-tailed Tropicbird,Phaethon rubricauda,,,,,,Present,,Present,,Present,
retloo,Red-throated Loon,Gavia stellata,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
arcloo,Arctic Loon,Gavia arctica,Present,,Present,Present,,Present,Present,,Present,Present,
pacloo,Pacific Loon,Gavia pacifica,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
comloo,Common Loon,Gavia immer,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
yebloo,Yellow-billed Loon,Gavia adamsii,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
antalb1,Antipodean Albatross,Diomedea antipodensis,,,,,,Present,,,,,
wavalb,Waved Albatross,Phoebastria irrorata,,,,,,Present,,,,Present,
layalb,Laysan Albatross,Phoebastria immutabilis,,,,,Present,Present,Present,Present,Present,Present,
bkfalb,Black-footed Albatross,Phoebastria nigripes,,,,,,Present,Present,Present,Present,Present,
shtalb,Short-tailed Albatross,Phoebastria albatrus,,,,,,Present,Present,Present,Present,Present,
limalb1,Light-mantled Albatross,Phoebetria palpebrata,,,,,,Present,,,,,
yenalb2,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Present,Present,,,Present,,,,Present,Present,Present
whcalb1,White-capped Albatross,Thalassarche cauta,,,,,,Present,,,,,
salalb1,Salvin's Albatross,Thalassarche salvini,,,,,,Present,Present,,,Present,
shyalb2,Chatham Albatross,Thalassarche eremita,,,,,,Present,,,,,
bkbalb,Black-browed Albatross,Thalassarche melanophris,Present,Present,,,,,,,Present,Present,Present
wispet,Wilson's Storm-Petrel,Oceanites oceanicus,Present,Present,,,Present,Present,,Present,Present,Present,Present
wfspet,White-faced Storm-Petrel,Pelagodroma marina,Present,Present,,,,,,,Present,,
bbspet1,Black-bellied Storm-Petrel,Fregetta tropica,,Present,,,,,,,,,
bripet,European Storm-Petrel,Hydrobates pelagicus,,Present,,,,,,,Present,,
ftspet,Fork-tailed Storm-Petrel,Hydrobates furcatus,,,,,,Present,Present,Present,Present,Present,
rispet1,Ringed Storm-Petrel,Hydrobates hornbyi,,,,,,Present,,,,,
lcspet,Leach's Storm-Petrel,Hydrobates leucorhous,Present,Present,Present,,Present,Present,Present,Present,Present,Present,Present
leastp5,Townsend's Storm-Petrel,Hydrobates socorroensis,,,,,,Present,,,,Present,
leastp2,Ainley's Storm-Petrel,Hydrobates cheimomnestes,,,,,,Present,,,,Present,
swspet,Swinhoe's Storm-Petrel,Hydrobates monorhis,,Present,,,,,Present,,,,
asspet,Ashy Storm-Petrel,Hydrobates homochroa,,,,,,Present,,,,Present,
barpet,Band-rumped Storm-Petrel,Hydrobates castro,Present,Present,Present,,Present,Present,,Present,Present,Present,Present
wrspet,Wedge-rumped Storm-Petrel,Hydrobates tethys,,,,Present,Present,Present,,,,Present,
bkspet,Black Storm-Petrel,Hydrobates melania,,,,,Present,Present,,Present,,Present,
guspet,Guadalupe Storm-Petrel,Hydrobates macrodactylus,,,,,,,,,,Present,
maspet,Markham's Storm-Petrel,Hydrobates markhami,,,,,,,,,,Present,
trspet,Tristram's Storm-Petrel,Hydrobates tristrami,,,,,,Present,,Present,,,
lsspet,Least Storm-Petrel,Hydrobates microsoma,,,,Present,Present,Present,,,,Present,
norgip1,Northern Giant-Petrel,Macronectes halli,,,,,,Present,,,,,
norful,Northern Fulmar,Fulmarus glacialis,Present,Present,Present,,,Present,Present,Present,Present,Present,Present
grwpet2,Gray-faced Petrel,Pterodroma gouldi,,,,,,Present,,,,,
kerpet,Kermadec Petrel,Pterodroma neglecta,,,,,,Present,,Present,,Present,
tripet1,Trindade Petrel,Pterodroma arminjoniana,Present,Present,,,Present,,,,Present,,Present
herpet2,Herald Petrel,Pterodroma heraldica,,,,,,,,Present,,Present,
murpet,Murphy's Petrel,Pterodroma ultima,,,,,,Present,Present,Present,Present,,
solpet1,Providence Petrel,Pterodroma solandri,,,,,,Present,Present,,,,
madpet,Zino's Petrel,Pterodroma madeira,,Present,,,,,,,,,
feapet2,Desertas Petrel,Pterodroma deserta,Present,Present,,,,,,,Present,,
motpet,Mottled Petrel,Pterodroma inexpectata,Present,,,,,Present,Present,Present,Present,,
berpet,Bermuda Petrel,Pterodroma cahow,Present,Present,,,,,,,Present,,Present
bkcpet,Black-capped Petrel,Pterodroma hasitata,Present,Present,Present,,Present,,,,Present,,Present
bkcpet2,Jamaican Petrel,Pterodroma caribbaea,,,,,,,,,,,Present
jufpet,Juan Fernandez Petrel,Pterodroma externa,Present,,,,Present,Present,,Present,,Present,
galpet,Galapagos Petrel,Pterodroma phaeopygia,,,,,,,,,,Present,
hawpet1,Hawaiian Petrel,Pterodroma sandwichensis,,,,,Present,Present,Present,Present,Present,Present,
whnpet,White-necked Petrel,Pterodroma cervicalis,,,,,,,,Present,,Present,
bonpet,Bonin Petrel,Pterodroma hypoleuca,,,,,,,,Present,,,
bkwpet,Black-winged Petrel,Pterodroma nigripennis,,,,,,,,Present,,,
coopet,Cook's Petrel,Pterodroma cookii,,,,,,Present,Present,Present,Present,Present,
stepet,Stejneger's Petrel,Pterodroma longirostris,,,,,Present,Present,,Present,,,
bulpet,Bulwer's Petrel,Bulweria bulwerii,,Present,,,,Present,,Present,,Present,Present
joupet,Jouanin's Petrel,Bulweria fallax,,,,,,Present,,,,,
tahpet1,Tahiti Petrel,Pseudobulweria rostrata,,Present,,,,,,Present,,Present,
whcpet1,White-chinned Petrel,Procellaria aequinoctialis,,,,,Present,Present,,,,,
spepet1,Spectacled Petrel,Procellaria conspicillata,,,,,,,,,,Present,
parpet1,Parkinson's Petrel,Procellaria parkinsoni,,,,,,Present,,,,Present,
strshe,Streaked Shearwater,Calonectris leucomelas,Present,,,Present,,Present,,Present,,Present,
corshe1,Cory's Shearwater,Calonectris borealis,Present,Present,,,Present,Present,,,Present,Present,Present
scoshe1,Scopoli's Shearwater,Calonectris diomedea,Present,Present,,,Present,,,,Present,Present,Present
cavshe1,Cape Verde Shearwater,Calonectris edwardsii,Present,Present,,,,,,,,,Present
pifshe,Pink-footed Shearwater,Ardenna creatopus,,,,,,Present,Present,Present,Present,Present,
flfshe,Flesh-footed Shearwater,Ardenna carneipes,,,,,,Present,Present,Present,Present,Present,
greshe,Great Shearwater,Ardenna gravis,Present,Present,Present,,Present,Present,Present,,Present,Present,Present
wetshe,Wedge-tailed Shearwater,Ardenna pacifica,,Present,,,Present,Present,Present,Present,,Present,
bulshe,Buller's Shearwater,Ardenna bulleri,Present,,,,,Present,Present,Present,Present,Present,
sooshe,Sooty Shearwater,Ardenna grisea,Present,Present,,,Present,Present,Present,Present,Present,Present,Present
shtshe,Short-tailed Shearwater,Ardenna tenuirostris,Present,Present,Present,,,Present,Present,Present,Present,Present,
chrshe,Christmas Shearwater,Puffinus nativitatis,,,,,,,,Present,,Present,
audshe3,Galapagos Shearwater,Puffinus subalaris,,,,,,,,,,Present,
manshe,Manx Shearwater,Puffinus puffinus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
towshe1,Townsend's Shearwater,Puffinus auricularis,,,,,,,,,,Present,
towshe2,Newell's Shearwater,Puffinus newelli,,,,,,Present,,Present,,,
bkvshe,Black-vented Shearwater,Puffinus opisthomelas,,,,,Present,Present,,,Present,Present,
litshe1,Barolo Shearwater,Puffinus baroli,Present,,,,,,,,Present,,
audshe,Sargasso Shearwater,Puffinus lherminieri,Present,Present,,,Present,,,,Present,Present,Present
wonsto2,African Woolly-necked Stork,Ciconia microscelis,,Present,,,,,,,,,
magsto1,Maguari Stork,Ciconia maguari,,,,,,,,,,Present,Present
whisto1,White Stork,Ciconia ciconia,,,,,,,,,,,Present
blnsto1,Black-necked Stork,Ephippiorhynchus asiaticus,,Present,,,,,,,,,
jabiru,Jabiru,Jabiru mycteria,,Present,,,Present,,,,,Present,Present
marsto1,Marabou Stork,Leptoptilos crumenifer,,,Present,,,,,,,,
woosto,Wood Stork,Mycteria americana,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
magfri,Magnificent Frigatebird,Fregata magnificens,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
lesfri,Lesser Frigatebird,Fregata ariel,Present,,Present,Present,,Present,,Present,,Present,
grefri,Great Frigatebird,Fregata minor,,,,,Present,Present,,Present,,Present,Present
norgan,Northern Gannet,Morus bassanus,Present,Present,Present,,Present,Present,Present,,Present,Present,Present
refboo,Red-footed Booby,Sula sula,Present,Present,,,Present,Present,Present,Present,Present,Present,Present
brnboo,Brown Booby,Sula leucogaster,Present,Present,Present,Present,Present,,Present,Present,Present,Present,Present
cocboo1,Cocos Booby,Sula brewsteri,,,,Present,Present,Present,Present,Present,Present,Present,
masboo,Masked Booby,Sula dactylatra,Present,Present,,,Present,Present,,Present,Present,Present,Present
nazboo1,Nazca Booby,Sula granti,,,,,,Present,Present,Present,Present,Present,
bfoboo,Blue-footed Booby,Sula nebouxii,,,,Present,Present,Present,,,Present,Present,
perboo1,Peruvian Booby,Sula variegata,,,,,,,,,,Present,
anhing,Anhinga,Anhinga anhinga,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
darter3,African Darter,Anhinga rufa,,,,,,Present,,,,Present,
bracor,Brandt's Cormorant,Urile penicillatus,,,,,,Present,Present,,Present,Present,
refcor,Red-faced Cormorant,Urile urile,,,,,,,Present,,Present,,
pelcor,Pelagic Cormorant,Urile pelagicus,,,,,,Present,Present,,Present,Present,
grecor,Great Cormorant,Phalacrocorax carbo,Present,Present,Present,,,,,,Present,,Present
doccor,Double-crested Cormorant,Nannopterum auritum,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
neocor,Neotropic Cormorant,Nannopterum brasilianum,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
guacor1,Guanay Cormorant,Leucocarbo bougainvilliorum,,,,,,,,,,Present,
whiibi,White Ibis,Eudocimus albus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
scaibi,Scarlet Ibis,Eudocimus ruber,Present,Present,Present,,,,,,Present,,Present
gloibi,Glossy Ibis,Plegadis falcinellus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
whfibi,White-faced Ibis,Plegadis chihi,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
greibi1,Green Ibis,Mesembrinibis cayennensis,,,,,,,,,,Present,
bafibi1,Bare-faced Ibis,Phimosus infuscatus,,,,,,,,,,Present,
bunibi1,Buff-necked Ibis,Theristicus caudatus,,,,,,,,,,,Present
sacibi2,African Sacred Ibis,Threskiornis aethiopicus,,Present,,,Present,Present,,,,,
eurspo1,Eurasian Spoonbill,Platalea leucorodia,,Present,,,,,,,,,Present
rosspo1,Roseate Spoonbill,Platalea ajaja,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
ruther1,Rufescent Tiger-Heron,Tigrisoma lineatum,,,,,,,,,,Present,Present
btther1,Bare-throated Tiger-Heron,Tigrisoma mexicanum,,,,,Present,,,,,Present,
father1,Fasciated Tiger-Heron,Tigrisoma fasciatum,,,,,,,,,,Present,Present
bobher1,Boat-billed Heron,Cochlearius cochlearius,,,,,,,,,,Present,Present
agaher1,Agami Heron,Agamia agami,,,,,,,,,,Present,
grebit1,Eurasian Bittern,Botaurus stellaris,,,,,,,Present,,,,
amebit,American Bittern,Botaurus lentiginosus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
pinbit1,Pinnated Bittern,Botaurus pinnatus,,,,,,,,,,Present,Present
stbbit1,Stripe-backed Bittern,Botaurus involucris,,,,,,,,,,,Present
leabit,Least Bittern,Botaurus exilis,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
litbit1,Little Bittern,Botaurus minutus,,,,,,,,,,,Present
yelbit,Yellow Bittern,Botaurus sinensis,,,,,,,Present,,,,
ycnher,Yellow-crowned Night Heron,Nyctanassa violacea,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
bcnher,Black-crowned Night Heron,Nycticorax nycticorax,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
capher1,Capped Heron,Pilherodius pileatus,,,,,,,,,,Present,Present
whiher1,Whistling Heron,Syrigma sibilatrix,,,,,,,,,,Present,Present
libher,Little Blue Heron,Egretta caerulea,Present,Present,Present,Present,Present,Present,,Present,Present,Present,Present
triher,Tricolored Heron,Egretta tricolor,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
redegr,Reddish Egret,Egretta rufescens,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
chiegr,Chinese Egret,Egretta eulophotes,,,,,,,Present,,,,
snoegr,Snowy Egret,Egretta thula,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
litegr,Little Egret,Egretta garzetta,Present,Present,,,,,Present,,Present,,Present
werher,Western Reef-Heron,Egretta gularis,Present,,,,,,,,Present,,Present
strher2,Striated Heron,Butorides striata,,,,,,,,,,Present,Present
grnher,Green Heron,Butorides virescens,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
squher1,Squacco Heron,Ardeola ralloides,,,,,,,,,,,Present
chpher1,Chinese Pond-Heron,Ardeola bacchus,,,,,,,Present,,,,
categr1,Western Cattle-Egret,Ardea ibis,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
categr2,Eastern Cattle-Egret,Ardea coromanda,,,,,,,Present,,,,
greegr,Great Egret,Ardea alba,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
integr1,Medium Egret,Ardea intermedia,,,,,,,Present,,,,
graher1,Gray Heron,Ardea cinerea,Present,Present,,,,,Present,Present,Present,,Present
grbher3,Great Blue Heron,Ardea herodias,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
cocher1,Cocoi Heron,Ardea cocoi,,,,,,,,,,Present,Present
purher1,Purple Heron,Ardea purpurea,,,,,,,,,,,Present
amwpel,American White Pelican,Pelecanus erythrorhynchos,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
brnpel,Brown Pelican,Pelecanus occidentalis,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
perpel1,Peruvian Pelican,Pelecanus thagus,,,,,,,,,,Present,
grwpel1,Great White Pelican,Pelecanus onocrotalus,,Present,,,,,,,Present,,
pibpel1,Pink-backed Pelican,Pelecanus rufescens,,Present,,,,Present,,,,,
calcon,California Condor,Gymnogyps californianus,,,,Present,Present,Present,,,,Present,
kinvul1,King Vulture,Sarcoramphus papa,,,,,,,,,,Present,
blkvul,Black Vulture,Coragyps atratus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
turvul,Turkey Vulture,Cathartes aura,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
lyhvul1,Lesser Yellow-headed Vulture,Cathartes burrovianus,,,,,,,,,,Present,
osprey,Osprey,Pandion haliaetus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
peakit1,Pearl Kite,Gampsonyx swainsonii,,,,,,,,,,Present,Present
whtkit,White-tailed Kite,Elanus leucurus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
hobkit,Hook-billed Kite,Chondrohierax uncinatus,,,,,Present,,,,,Present,Present
hobkit2,Cuban Kite,Chondrohierax wilsonii,,,,,,,,,,,Present
grhkit1,Gray-headed Kite,Leptodon cayanensis,,,,,,,,,,Present,Present
orihob2,Oriental Honey-buzzard,Pernis ptilorhynchus,,,,,,,Present,,,,
swtkit,Swallow-tailed Kite,Elanoides forficatus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
blheag1,Black Hawk-Eagle,Spizaetus tyrannus,,,,,,,,,,Present,Present
bawhae1,Black-and-white Hawk-Eagle,Spizaetus melanoleucus,,,,,,,,,,Present,
orheag1,Ornate Hawk-Eagle,Spizaetus ornatus,,,,,,,,,,Present,Present
booeag1,Booted Eagle,Hieraaetus pennatus,,,,,,,,,,,Present
goleag,Golden Eagle,Aquila chrysaetos,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,
creeag1,Crested Eagle,Morphnus guianensis,,,,,,,,,,Present,
hareag1,Harpy Eagle,Harpia harpyja,,,,,,,,,,Present,
grfhaw1,Chinese Sparrowhawk,Tachyspiza soloensis,,,,,,,Present,,,,
gybhaw1,Gray-bellied Hawk,Accipiter poliogaster,,,,,,,,,,Present,
eurspa1,Eurasian Sparrowhawk,Accipiter nisus,,,,,,,Present,,,,
shshaw,Sharp-shinned Hawk,Accipiter striatus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
bichaw1,Bicolored Hawk,Astur bicolor,,,,,,,,,,Present,
coohaw,Cooper's Hawk,Astur cooperii,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
gunhaw1,Gundlach's Hawk,Astur gundlachi,,Present,,,,,,,,,Present
norgos1,Eurasian Goshawk,Astur gentilis,,,,,,,Present,,,,
norgos,American Goshawk,Astur atricapillus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
wemhar1,Western Marsh Harrier,Circus aeruginosus,Present,Present,,,,,,,,,Present
